College,URL,State,Type,Highest degree offered,Carnegie classification,Course,Department,Sub-topic,Notes,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Advanced Databases (SQL),IT Software Development,Workflows and open science,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Data Analytics 1,IT Data,Data manipulation/processing,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Data analytics 2,IT Data,Data manipulation/processing,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Programming in R,IT Data,Introduction to coding,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,BI and Visualization,IT Data,Data visualization,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Data Analytics Capstone,IT Data,Data manipulation/processing,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Geographical Info Systems I,Civil Engineering Technology,Data sources,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Geographical Info Systems II,Civil Engineering Technology,Data sources,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Environmental Impact (more about impact assessments),Civil Engineering Technology,Basics of Ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Introductory Statistics ,Mathematics,Basics of Statistics,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Calculus I,Mathematics,Basics of Statistics,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Enviornmental Sc I-AHS,Science,Basics of ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Environmental Sc II-AHS,Science,Basics of ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Biology-AHS,Science,Basics of ecology,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Writing Grant Proposals,Communication Skills,Science communication,Listed as Subjects not Departments,
Gateway Technical College,http://gtc.edu,WI,2-year vocational/technical school,Associate's,Associate's Colleges: High Career & Technical-High Nontraditional,Tech Writing/Grant & Prop Wrt,Communication Skills,Science communication,Listed as Subjects not Departments,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Environmental Science,Biology,Basics of Ecology,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Biology I,Biology ,Basics of Ecology,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Introduction to Programming (no language specified),Computer Science,Introduction to coding,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Fundamentals of Statistics ,Math,Basics of Statistics,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Fundamentals of Calculus,Math,Basics of Statistics,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Calculus and Analytical Geometry I,Math,Basics of Statistics,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Differential Equations,Math,Statistical models,,
Garden City Community College,http://gcccks.edu,KS,Community College,Assosciate's,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Elementary Ethics,Philosophy,Ethics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Analysis I,Applied Statistics,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Analysis II,Applied Statistics,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,SAS Basics,Applied Statistics,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Inference I,Applied Statistics,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Inference II,Applied Statistics,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Models for Complex Data Structures,Applied Statistics,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistical Analysis with R,Applied Statistics,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Predictive Analytics,Applied Statistics,Basics of forecasting,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied LInear Models I,Applied Statistics,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied Linear Models II,Applied Statistics,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Topics in Biology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,"Principles of Biology: Biodiversity, Ecology, and Evolution",Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Principles of Ecology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Topics in Environmental Microbiology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Symbiosis,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Command Line Genomics,Biology,Basics of Coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Bioinformatics and NCBI Database,Biology,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Biology of Emerging Infectious Diseases,Biology,Basics of Ecology,similar to epidemiology,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Primate Behavior and Ecology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Ecology of Microorganisms,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied and Environmental Microbiology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Communities and Ecosystems,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Behavioral and Evolutionary Ecology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Topics in Enviornmental Microbiology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Primate Behavior and Ecology,Biology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Bioinformatics and NCBI Database,Biology,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Forecasting Business Activity,Business Management,Basics of forecasting,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Python Programming I + II,Computer Science,Introduction to coding,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,R Programming I,Computer Science,Introduction to coding,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Bioinformatics  ,Computer Science,Basics of Coding,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied Machine Learning I,Computer Science,Machine learning,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Introduction to Data Mining,Computer Science,Working with data,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Bioinformatics Programming,Computer Science,Basics of coding,Graduate Level Courses of the same name not included,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Algorithms in Systems Biology,Computer Science,Statistical models,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Engineering Data Analysis,Computer Science,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Communication,Communication,Science communication,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Python Programming,Cyber Technology,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Fundamentals of Database management (SQL),Cyber Technology,Data manipulation/processing,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Machine Learning I,Cyber Technology,Machine learning,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Machine Learning II,Cyber Technology,Machine learning,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Machine Learning III,Cyber Technology,Machine learning,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Microbiology,Environmental Engineering,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Fate and Transport of Environmental Contaminants (modeling),Environmental Engineering,Mechanistic models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Science I,Environmental Science,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Engineering and Science ,Environmental Science,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Principles of Ecology,Environmental Science,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Special Problems ,Environmental Science,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied Biology,Entomology/Plant Pathology,Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Wildlife Ecology,"Fish,Wildlife,Conservation Ecology",Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Introduction to Population Ecology,"Fish,Wildlife,Conservation Ecology",Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,"Large Mammal Ecology, Conservation and Management","Fish,Wildlife,Conservation Ecology",Basics of Ecology,graduate level course not counted,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Ecological Biometry,"Fish,Wildlife,Conservation Ecology",Basics of Ecology,"Use of ecological data to test scientific hypotheses, stochastic and statistical models for environmental data, data visualization, likelihood-based and information-based model selection. Emphasis on open-source software tools.",
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Aquatic Biology,"Fish,Wildlife,Conservation Ecology",Basics of Ecology,graduate level course not counted,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,GIS for Natural Resource Scientists,"Fish,Wildlife,Conservation Ecology",Data sources,graduate level course not counted,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Population Ecology (s),"Fish,Wildlife,Conservation Ecology",Basics of Ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced avian ecology,"Fish,Wildlife,Conservation Ecology",Basics of Ecology,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applied Bioinformatics,Genetics,Introduction to coding,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Climatology,Geography,Basics of forecasting,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Cartography and Geographic Information Systems,Geography,Data sources,graduate level course not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Landscape Ecology,Geography,Basics of Ecology,graduate level course not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Fundamentals of Geographic Information Science (GIS),Geography,Data sources,graduate level course not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,GIS and Water resources ,Geography,Data sources,graduate level course not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,GIS&T Applications and Modeling,Geography,Data sources,graduate level course not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Introduction to Statistics,Math,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Applications of Calculus I,Math,Basics of Statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Calculus and Analytical Geometry I,Math,Basics of Statistics,,should we include courses on complex analysis?
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Introduction to Ordinary Differential Equations,Math,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Matrix theory and applied linear algebra,Math,Statistical models,advanced courses in linear algebra not counted ,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Ordinary Differential Equations,Math,Statistical models,graduate level course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Data Analysis with Applications,Math,Working with data,need admittance into special MC2-LIFT program,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Partial Differential Equations I,Math,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Partial Differential Equations II,Math,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Biostatistical Applications in Public health,Public Health,Basics of statistics,masters course,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Structured Query Language (SQL),Computer Technology,Data manipulation/processing,restricted to community college campuses only,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Introduction to Principles of Geographic Information Systems,Geographic Info Sys,Data sources,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,GIS Data Acquisition and Management,Geographic Info Sys,Data sources,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Ethics,Philosophy,Ethics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Global Environmental Health Issues,Public Health,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Epidemiology,Public Health,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Environmental Health,Public Health,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,"Climate Studies, Water, and Society",Range Science,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Land Cover Analysis for Natural Resources,Range Science,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Rangeland Resource Ecology,Range Science,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Rangeland Ecology,Range Science,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Rangeland Restoration Ecology,Range Science,Basics of ecology,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Advanced Seminar in Data Visualization,Sociology,Data visualization,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistics for Engineers and Scientists I,Statistics,Basics of statistics,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Probability: Theory and Applications,Statistics,Probability & Uncertainty,graduate course of same name not counted,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Statistics: Theory and Applications ,Statistics,Basics of statistics,graduate course of same name not counted,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Elementary Stochastic Processes,Statistics,Probability & Uncertainty,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Foundations of Probability,Statistics,Probability & Uncertainty,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Linear Models ,Statistics,Statistical models,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,Earth Data Retrieval,Water Science and Management,Data sources,,
New Mexico State University,http://nmsu.edu,NM,4-year public,PhD,R2,"Climate Studies, Water and Society",Water Science and Management,Basics of ecology,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Visual Basic Programming I,Biological (Life) Sciences,Introduction to coding,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Visual Basic Programming II,Biological (Life) Sciences,Introduction to coding,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,C++ Programming I,Biological (Life) Sciences,Introduction to coding,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,C++ Programming II,Biological (Life) Sciences,Introduction to coding,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Calculus,Math,Basics of Statistics,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Linear Algebra,Math,Statistical models,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Ordinary Differential Equations,Math,Statistical models,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Statistical Methods,Math,Basics of statistics,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Conservation of Natural Resources,Natural Resources,Basics of Ecology,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Computer Programming for Scientists and Engineers,Physics,Statistical models,,modeling for physical sciences
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Fundamentals of Statistics,Sociology,Basics of Statistics,,
Copper Mountain College,http://cmccd.edu,CA,Community College,Associates degree,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,Decision-Making and Advocacy,Speech,Decision science,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Biostatistics ,Agriculture,Basics of Statistics,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Introduction to Epidemiology,Agricultue,Basics of Ecology,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,"Man, Environment & Pollution",Agricultue,Basics of Ecology,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Geographic Information Systems (GIS) and Watershed Management,Agricultue,Data sources,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Advanced Bioinformatics,Bioinformatics,Introduction to coding,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Ecology,Biology,Basics of Ecology,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Computational Sciences,Biology,Data manipulation/processing,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Biostatistics ,Biology,Basics of statistics,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Computer Science I (C++),Computer Science,Introduction to coding,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Computer Science II (C++),Computer Science,Introduction to coding,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Data Structures,Computer Science,Data manipulation/processing,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Introduction to Numerical Solutions,Computer Science,Basics of statistics,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Bioinformatics,Computer Science,Introduction to coding,,
University of Arkansas at Pine Bluff,http://uapb.edu,AR,4-year public,PhD,Baccalaureate Colleges: Diverse Fields,Data Analytics,Computer Science,Working with data,,
